"bid","bpid","affilliation","rank","competitors","exam_type","pass_year","king","lid","previous","exam_class","class_rank","pass_date"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1846_012754&category=dirSer","G002+AKS-KHF_13BC31C2DCC740B1808X0","문과",13,38,"식년시",1846,"헌종",251,"유학(幼學)","병과(丙科)",3,"1846-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1844_012702&category=dirSer","G002+AKS-KHF_13C774C2B9D0DDB1815X0","문과",24,39,"증광시",1844,"헌종",300,"유학(幼學)","병과(丙科)",14,"1844-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1844_012708&category=dirSer","G002+AKS-KHF_13D604D544C81CB1814X0","문과",30,39,"증광시",1844,"헌종",251,"유학(幼學)","병과(丙科)",20,"1844-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1844_012712&category=dirSer","G002+AKS-KHF_13C774C5F0ACBDB1791X0","문과",34,39,"증광시",1844,"헌종",293,"유학(幼學)","병과(丙科)",24,"1844-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1844_012716&category=dirSer","G002+AKS-KHF_13BC15BB38D64DB1795X0","문과",38,39,"증광시",1844,"헌종",150,"참봉(參奉)","병과(丙科)",28,"1844-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1845_012718&category=dirSer","G002+AKS-KHF_13C815CC3DD611B1798X0","문과",1,14,"정시",1845,"헌종",61,"유학(幼學)","갑과(甲科)",1,"1845-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1845_012722&category=dirSer","G002+AKS-KHF_13C720BCD1C5F0B1810X0","문과",5,14,"정시",1845,"헌종",146,"유학(幼學)","병과(丙科)",2,"1845-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1846_012735&category=dirSer","G002+AKS-KHF_13D55CC815BAA8B1813X0","문과",4,7,"정시",1846,"헌종",267,"유학(幼學)","병과(丙科)",2,"1846-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1846_012738&category=dirSer","G002+AKS-KHF_13C870BA85AD6CB1827X0","문과",7,7,"정시",1846,"헌종",55,"유학(幼學)","병과(丙科)",5,"1846-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1846_012744&category=dirSer","G002+AKS-KHF_13C120C6B0C5C5B1821X0","문과",3,38,"식년시",1846,"헌종",297,"유학(幼學)","갑과(甲科)",3,"1846-07-01"
