id1,namehg1,namehj1,year,prevdegreehg,prevdegreehj,source,courtesynamehg,courtesynamehj,ancestralseathg,choronymhg,ancestralseathj,choronymhj,addresshg,addresshj,pennamehg,pennamehj,posthumoustitlehg,posthumoustitlehj,error
13440,고운정,高雲,1878,유학,幼學,MTPB 242A 2C,,,제주,제주 고,濟州,濟州 高,경,京,,,,,
13441,김창석,金昌錫,1878,생원,生員,MTP NL,문좌,文佐,김해,김해 김,金海,金海 金,임실,任實,,,,,
13442,김사철,金思轍,1878,유학,幼學,MTPA 182A 4C; PSTP 17-033B,자전,子田,연안,연안 김,延安,延安 金,경,京,,,,,
13443,김병수,金炳秀,1878,생원,生員,MTPA 176B 3A; PSTP 15-082A,성민,聖民,안동,안동 김,安東,安東 金,홍주,洪州,,,,,
13444,황일룡,黃一龍,1878,유학,幼學,MTP NL,,,제안,제안 황,齊安,齊安 黃,강동,江東,,,,,
13445,신계해,申啓海,1878,유학,幼學,MTP NL,,,평산,평산 신,平山,平山 申,숙천,肅川,,,,,
13446,이용호,李容鎬,1878,유학,幼學,MTPA 029B 4C,,,전주,전주 이,全州,全州 李,청주,淸州,,,,,
13447,양한용,梁漢容,1878,유학,幼學,MTPA 222A 2A,탁운,倬雲,남원,남원 양,南原,南原 梁,남원(南原),墓在 谷城,벽헌,碧軒,,,
13448,조병승,趙秉升,1878,진사,進士,MTPB 071A 1C; PSTP 24-013A,치일,稚日,풍양,풍양 조,豊壤,豊壤 趙,경,京,,,,,
13449,이경직,李景稙,1878,유학,幼學,MTPA 098A 4B,,,한산,한산 이,韓山,韓山 李,경,京,,,,,
13450,김문현,金文鉉,1878,유학,幼學,MTPA 161B 2B; PSTP 16-006BP,원빙,元,광산,광산 김,光山,光山 金,경,京,,,,,
13451,민영환,閔泳煥,1878,유학,幼學,MTPB 147A 3D; PSTP 43-027A,문약,文若,여흥,여흥 민,驪興,驪興 閔,경,京,계정,桂庭,,,
13452,정인흥,鄭寅興,1878,유학,幼學,MTPA 233A 2B; PSTP 19-025A,주빈,周賓,동래,동래 정,東萊,東萊 鄭,경,京,,,,,
13453,김학선,金鶴善,1878,생원,生員,MTPA 191A 1A; PSTP 17-066B,여고,汝皐,청풍,청풍 김,淸風,淸風 金,경,京,,,,,
13454,정승현,鄭承鉉,1878,유학,幼學,MTP NL,찬서,纘緖,하동,하동 정,河東,河東 鄭,함양,咸陽,,,,,
13455,김규영,金奎榮,1878,유학,幼學,MTP NL,,,김해,김해 김,金海,金海 金,부안,扶安,,,,,
13456,이호면,李鎬冕,1878,생원,生員,MTPA 140B 1B,족옥,族玉,우봉,우봉 이,牛峰,牛峰 李,경,京,,,,,
13457,신태관,申泰寬,1878,진사,進士,MTPB 050A 1B,공오,公五,평산,평산 신,平山,平山 申,경,京,유당,留堂,,,
13458,남정호,南廷皓,1879,진사,進士,MTPB 158A 1B,사빈,士賓,의녕,의녕 남,宜寧,宜寧 南,춘천,春川,,,,,
13459,민영서,閔泳序,1879,유학,幼學,MTP NL,백경,伯卿,여흥,여흥 민,驪興,驪興 閔,상주,尙州,동석,東石,,,
13460,임백언,任百彦,1879,유학,幼學,MTPB 151A 2D,,,풍천,풍천 임,豊川,豊川 任,경,京,,,,,
13461,주락규,朱洛珪,1879,유학,幼學,MTP NL,현보,玄寶,전주,전주 주,全州,全州 朱,함흥,咸興,,,,,
13462,조종린,趙鍾麟,1879,유학,幼學,MTP NL,,,한양,한양 조,漢陽,漢陽 趙,정산,定山,,,,,
